ID,Возраст,Доход клиента,Вероятность банкротства,Флаг утилизации счёта,Расходы,PV КК,PV услуги,NPV
36,65,25666.597187385367,0.012988251913719098,1,1715,10394,2883,11562
37,32,23008.422565513283,0.025993537847640576,1,328,5355,2654,7681
38,45,21587.939302290615,0.12375900292082245,1,583,6014,1570,7001
39,23,21093.869835374986,0.07005604168910436,1,217,5238,2384,7405
40,61,23117.777620526194,0.28508331449258356,1,119,5643,1369,6893
41,58,24249.11958656679,0.1445375541381447,1,301,5422,2704,7825
42,25,24707.428552050165,0.1214905606500385,1,968,10138,2495,11665
43,44,21139.941697112474,0.29476152583842685,0,22,0,0,-22
44,18,20824.086461212908,0.10202035965437499,1,900,5971,1342,6413
45,54,28343.57662431768,0.14164360668326087,1,136,5752,1626,7242
46,21,24095.21332502986,0.21492956357315737,1,191,5714,1506,7029
47,44,20854.481227500233,0.19549427671883599,1,1141,6313,1570,6742
48,56,23508.151488541,0.46712230153902445,0,116,0,0,-116
49,33,24036.978839754694,0.03583564684711571,1,429,5357,2500,7428
50,46,21643.243492958674,0.2519705548826827,1,419,5381,1336,6298
51,26,20244.70455950724,0.51871594347818,1,999,6492,1441,6934
52,18,20442.062715462638,0.02092285620332754,1,193,12838,1471,14116
53,18,28894.10166513316,0.06708986519854206,1,467,5262,1422,6217
54,41,30270.652825706205,0.0701881058767222,1,610,6663,1363,7416
55,34,20880.99515506251,0.0680870409858972,1,477,7808,4014,11345
56,69,27216.0070350778,0.12616570650943332,1,1250,6953,1383,7086
57,46,21312.079332191348,0.10378516846494239,1,116,8912,1803,10599
58,19,27795.356435799604,0.1443859231506538,1,404,6742,2519,8857
59,43,22472.998596795223,0.014801314330695614,1,488,11497,1750,12759
60,40,39354.81149400331,0.03093808144256465,1,1317,5745,1841,6269
61,21,21293.075299778353,0.33582795717910635,0,36,0,0,-36
62,24,24616.741373337296,0.024839052417440766,1,197,6824,2143,8770
63,58,34513.722391791234,0.11389244360666301,1,17,7457,1381,8821
64,33,22604.241781994948,0.050466106480993034,1,981,5495,2618,7132
65,20,21388.448978421427,0.4095869735021689,1,140,9020,1360,10240
66,38,20988.613230389707,0.004522158957808427,0,29,0,0,-29
67,29,29830.650585421063,0.19550701728103856,0,50,0,0,-50
68,56,28249.986968491867,0.2641438154640253,1,386,5881,2853,8348
69,48,25259.833553937242,0.3601987371431485,0,54,0,0,-54
70,68,74168.84459956005,0.021636166373225154,1,1226,12920,1947,13641
71,38,25523.384600984475,0.1638965548796316,1,31,12241,2039,14249
72,54,23255.0325875923,0.0182679140003825,1,191,9484,1488,10781
73,43,24077.763250489497,0.037514292088593415,1,419,5712,1527,6820
74,45,38954.26599654823,0.07470354775307089,1,374,6162,1530,7318
75,41,31559.176468788133,0.012528558789715687,1,157,12306,1431,13580
76,19,22052.163130423472,0.07151240852859307,1,27,7449,1679,9101
77,72,25385.154538444192,0.028533238012027725,1,455,10050,4318,13913
78,36,20807.27715041763,0.03293063798946001,0,171,0,0,-171
79,29,20424.032938254095,0.011695383114940942,0,30,0,0,-30
80,41,22196.80995100497,0.06107268464823684,1,2070,9654,1836,9420
81,43,33300.52879145724,0.15233326729651178,1,58,14432,1485,15859
82,73,28739.386290802428,0.1902471573494857,1,373,5987,1656,7270
83,47,20803.62173104857,0.27412925341435246,1,576,8804,2398,10626
84,62,25390.891353651576,0.018664652961819996,1,159,10489,1407,11737
85,71,32632.761226248025,0.03930081119084315,1,74,6799,1366,8091
86,28,106176.10326101206,0.03233178625285538,1,974,7344,1413,7783
87,46,47804.974778080796,0.07443773009598315,0,105,0,0,-105
88,46,24356.55712338604,0.28504820184782703,1,111,56302,1802,57993
89,20,20821.005220058578,0.16378937205864114,1,365,6468,1924,8027
90,18,23972.71656021889,0.019906541123352557,1,705,7392,1672,8359
91,49,21673.92665256003,0.16737936461275602,0,49,0,0,-49
92,60,21280.84914671576,0.05448724112339787,0,48,0,0,-48
93,39,20533.299911466198,0.07237826486879718,1,288,14289,2733,16734
94,18,110103.06361269735,0.11604562522164182,1,1695,7585,1610,7500
95,43,35044.90805188028,0.2768349682462534,1,187,13659,1426,14898
96,37,47030.85936140385,0.11279622873387461,1,627,7379,1669,8421
97,42,36164.88611092632,0.05202919034117044,1,116,16728,1926,18538
98,46,35439.05969056442,0.5148053610541757,0,32,0,0,-32
99,44,21606.670727290682,0.10763658737441474,0,161,0,0,-161
100,39,21203.8620088387,0.08783969256181581,1,471,6771,1699,7999
101,31,21527.516834180547,0.05562290095097435,1,528,7227,3544,10243
102,55,24023.960561006686,0.1137044989873634,0,33,0,0,-33
103,38,27093.700823461222,0.08359167311821754,1,734,6603,1405,7274
104,26,22158.416698369256,0.2122713940340602,1,331,5600,1884,7153
105,55,39995.067961065084,0.1737718241725992,1,227,28980,1453,30206
106,19,26907.422384880927,0.04030634211029109,1,348,7195,1383,8230
107,19,53654.62551348542,0.009523179856341036,1,188,7143,1509,8464
108,73,22691.670589336154,0.07144111125570546,1,1042,41215,1542,41715
109,37,22010.38756723187,0.1950316518194409,1,242,6713,1509,7980
110,69,26611.789099122434,0.2363835351342938,0,22,0,0,-22
111,73,20608.984161750213,0.2915467881755093,1,418,5862,1522,6966
112,34,26742.39597811767,0.2022008701633961,1,210,7302,1452,8544
113,61,32604.14793387751,0.020877712864076494,1,68,5466,1462,6860
114,30,23619.458082166748,0.0451541300438382,1,348,8847,1486,9985
115,22,29418.714059060232,0.1566332571238455,1,75,6186,1380,7491
116,67,42259.38731711161,0.307139490746741,1,73,5641,1773,7341
117,36,22676.183836000346,0.009851615687916957,1,135,14531,1740,16136
118,44,74420.14271149995,0.13789994649038814,1,197,8761,1911,10475
119,39,20720.15910495588,0.312617671856036,0,145,0,0,-145
120,23,31608.0919614466,0.2038019034976449,0,34,0,0,-34
121,66,20312.455592021674,0.2147714364307186,1,97,5992,2812,8707
122,72,20697.455072448804,0.1806485600439977,0,46,0,0,-46
123,48,20672.63264350718,0.21558418048848796,0,66,0,0,-66
124,20,21534.082781157016,0.02420501405094793,1,650,8346,1530,9226
125,20,41574.12829504783,0.2981300326583197,1,213,12150,1539,13476
126,26,20789.300092697493,0.3862291667070855,0,18,0,0,-18
127,28,37640.885836240144,0.23027866757947904,0,74,0,0,-74
128,56,28308.513687439696,0.07247987500384849,1,43,5936,2445,8338
129,63,46827.524815199,0.049937453790954066,1,1374,5670,1540,5836
130,41,27931.541026524883,0.12692611269837054,1,165,6317,1711,7863
131,25,27131.10457350876,0.14581136793833768,1,1054,9868,3067,11881
132,22,20035.202938429375,0.009946620022491498,1,574,9011,1448,9885
133,38,24031.4573667286,0.271308076936445,1,209,8589,1519,9899
134,61,36654.414692546154,0.23907629181328227,1,820,7663,1919,8762
135,51,21407.229586858484,0.05424808279766872,1,596,5487,1694,6585
136,64,31456.850369192387,0.08146008369969174,0,25,0,0,-25
137,27,22552.799143352244,0.0052633462498847565,1,751,13593,1420,14262
138,26,28049.93664680163,0.10470358736163905,0,80,0,0,-80
139,60,23895.80777355441,0.27423828088988605,0,24,0,0,-24
140,66,22691.10132534739,0.17597153879044233,0,34,0,0,-34
141,72,21127.04895813541,0.09689415559281113,1,216,8441,3027,11252
142,52,24481.32344087228,0.04250762115403258,1,329,16175,1430,17276
143,23,27375.668125554796,0.21547127184416484,1,260,6487,2401,8628
144,35,25276.127538030138,0.20614356501273953,1,335,5742,1454,6861
145,36,21525.117556910325,0.06188433736039419,1,1130,7042,1594,7506
146,64,22132.097038075623,0.0824394350624182,1,2028,5847,1391,5210
147,49,21796.07731617645,0.19336466288029458,1,497,6649,2813,8965
148,32,21952.45917713953,0.06146207243463719,1,120,5850,1688,7418
149,21,20245.370714359284,0.2209709393476111,0,12,0,0,-12
150,31,21253.491580541177,0.0790136142218748,1,605,5248,1555,6198
151,39,21450.880247466604,0.19106598462774696,0,9,0,0,-9
152,30,25341.763272694832,0.08771727937031366,0,55,0,0,-55
153,47,20807.625604753634,0.0696905674700413,1,277,11399,1551,12673
154,25,35499.67241058834,0.1563842377364106,1,576,7127,6702,13253
155,48,26046.81626577716,0.12282805528159947,1,986,7441,1827,8282
156,29,25149.863057723,0.042210622233920254,1,988,43766,1483,44261
157,48,24658.838972126498,0.26736549024833695,0,14,0,0,-14
158,31,25069.564828192575,0.0565320735446198,1,174,15003,2104,16933
159,23,22131.14911655187,0.035368341520201976,0,6,0,0,-6
160,25,22267.401071811026,0.12435355114276546,0,39,0,0,-39
161,44,21470.84554742593,0.13328484433824947,1,444,9850,2053,11459
162,61,53056.864418351,0.016467402212016338,1,607,5609,1702,6704
163,65,28600.62248197461,0.055216811674849604,1,415,10829,2644,13058
164,22,34415.439942113386,0.09150157914384936,1,592,6709,1421,7538
165,21,35690.25554550495,0.04382342295452724,0,54,0,0,-54
166,25,55219.43910866797,0.03606177869294677,1,799,6628,3271,9100
167,40,22100.676482568073,0.23546609973492788,1,249,9470,2040,11261
168,34,74089.7429348192,0.10154688308663687,0,66,0,0,-66
169,47,21870.264708139257,0.09639985894870694,1,133,14945,2314,17126
170,34,27146.772304354574,0.12899551513231705,1,609,5248,2625,7264
171,26,46114.74491445573,0.0016636180156493624,1,41,8286,1776,10021
172,37,24345.677599774026,0.08946325158725359,1,89,5241,1334,6486
173,44,30576.03309197395,0.0332948854109229,0,71,0,0,-71
174,60,38638.3864361347,0.09816363530307116,1,397,27596,2360,29559
175,49,22024.328626023864,0.1551594624797496,0,0,0,0,0
176,19,37331.749967387594,0.03915556718097307,1,1107,8160,1448,8501
177,52,27900.79281238679,0.13946582135504226,1,552,7621,2300,9369
178,30,20164.779433056196,0.1956082843182843,0,219,0,0,-219
179,30,50847.60855836075,0.16657904447436042,1,80,7160,1620,8700
180,34,26737.250336810906,0.00033547887359845383,1,357,12116,2596,14355
181,18,22918.014836389077,0.028158088731234092,1,90,8097,3071,11078
182,38,23977.085799672135,0.08703365887344425,1,542,6423,1537,7418
183,41,30862.36559736983,0.3185912423752655,0,153,0,0,-153
184,23,23235.959200982055,0.4208881729397859,0,131,0,0,-131
185,23,25787.209141872314,0.016855712012756666,1,49,7826,1340,9117
186,62,25717.558575733183,0.05969783232975535,1,119,5632,1784,7297
187,22,21785.59013937428,0.10917030705511069,1,160,32997,1359,34196
188,25,25474.860049614465,0.19593350088219774,1,738,7657,2162,9081
189,21,35891.85705501702,0.20211261601367034,0,68,0,0,-68
190,26,25475.985341040505,0.07840685652435453,1,113,6028,1578,7493
191,71,39466.29624316325,0.13895641087316757,0,227,0,0,-227
192,36,20393.960858542363,0.1342678658960281,1,1487,7226,3386,9125
193,29,25126.492023585277,0.21519990687216237,1,606,5629,1358,6381
194,27,22182.314686639103,0.010742837780889544,1,316,8863,1822,10369
195,55,25897.445471191342,0.04231222265303552,1,441,10244,1749,11552
196,18,20183.084104456146,0.1540652410530053,1,629,6547,1394,7312
197,73,22481.770252815782,0.015549076664298413,1,596,6265,6943,12612
198,18,35565.26653779205,0.3379301478923318,1,476,6700,1489,7713
199,68,21103.713588717448,0.12479084422363265,1,39,10537,1536,12034
200,18,73741.15931806221,0.08798003647291126,1,1037,5965,2807,7735
201,39,25922.43543844853,0.1323427181134115,1,750,13975,2247,15472
202,43,30033.952846927466,0.3543755364718171,1,124,9351,2024,11251
203,58,26190.282624952226,0.17434859731454252,1,205,8579,3166,11540
204,48,26199.627045107267,0.10581423758139397,1,1068,19830,2426,21188
205,47,26084.195782772968,0.0078122243706486814,0,146,0,0,-146
206,29,20122.433954399265,0.012659883750116677,0,93,0,0,-93
207,25,32552.417109945298,0.023725687874789275,1,256,11062,1476,12282
208,40,20565.767076000822,0.07925991862018134,1,35,7662,1891,9518
209,34,21507.53158080698,0.048866109690566574,0,32,0,0,-32
210,41,29542.712248083088,0.10418402594743795,1,174,5751,1669,7246
211,41,20763.085014628123,0.051988368916072676,1,220,5379,1645,6804
212,62,22912.153949593965,0.05803845069480538,1,317,5833,1737,7253
213,44,21994.171689885236,0.007504013476319758,1,872,5517,1533,6178
214,45,22525.33734994101,0.27716483537297054,1,203,10653,10952,21402
215,32,26109.642124253674,0.048478824850909194,1,282,7115,1451,8284
216,22,23256.74550435584,0.11202681613943849,1,503,5600,1393,6490
217,39,30827.649198823536,0.14062337063178418,1,769,9768,1524,10523
218,30,30113.68959665816,0.21373415437457888,0,0,0,0,0
219,37,23486.758845839653,0.055216452532112874,1,810,5593,1475,6258
220,22,22676.891520091056,0.12026839893362044,1,49,6352,1555,7858
221,22,22631.796074696573,0.05503043161434592,1,273,36879,1645,38251
222,50,20088.409008813003,0.21074252455721615,1,67,8913,1494,10340
223,31,23876.811801224863,0.12065504105089137,0,25,0,0,-25
224,31,26773.067636802305,0.19529149851509314,1,36,8594,1585,10143
225,34,27568.11409503204,0.05993976192392714,1,718,6860,1438,7580
226,64,36478.90739744761,0.030268529906610973,1,198,5317,1410,6529
227,20,27240.72238149994,0.17947916385889504,0,238,0,0,-238
228,64,21095.993659919655,0.17314075087155867,1,256,5582,1458,6784
229,49,31063.62899274233,0.3717800702941669,0,16,0,0,-16
230,72,26469.450081401552,0.10163573662066429,1,698,9444,1463,10209
231,20,25420.35811845696,0.3535893507647193,1,77,5398,3731,9052
232,32,27750.973191996618,0.09327457503945184,1,929,5762,2588,7421
233,63,20575.655025464526,0.1806317816079399,0,35,0,0,-35
234,42,40446.78498592476,0.0289379125583197,1,726,18068,1578,18920
235,59,29015.738623119956,0.12692822301267986,1,296,6041,2861,8606
236,55,23480.887388398434,0.07787905579517454,1,706,7700,2169,9163
237,23,23869.756673908803,0.08069978834725483,1,347,5448,1334,6435
238,72,23115.68503326581,0.044054485674521464,1,680,7672,2265,9257
239,18,27094.79308126854,0.23751067706154255,1,327,7624,1596,8893
240,59,27141.76327635627,0.23473666545769203,1,1407,19814,1360,19767
241,22,28631.552786527467,0.2180276854694033,0,15,0,0,-15
242,40,21421.33367160717,0.01966349070968707,1,888,5635,4598,9345
243,27,48522.78591003294,0.011408950160338048,1,247,6436,2867,9056
244,57,21593.366743440438,0.006758001229730048,1,2239,18994,1712,18467
245,39,20499.991352656587,0.04987538757243611,1,1182,6143,1622,6583
246,21,20630.40206066693,0.032534715794299195,0,6,0,0,-6
247,34,21520.757306536896,0.3812928306528569,1,334,6824,1589,8079
248,32,24311.53501150643,0.16990362323447675,1,576,12223,3584,15231
249,18,22101.012008513488,0.26100556547102877,0,18,0,0,-18
250,31,39940.11160161845,0.05876430589202737,1,60,6668,1435,8043
251,58,26415.57247311402,0.16345044717119514,1,105,7433,1507,8835
252,61,38895.88955009635,0.01138303717400331,1,972,7013,1897,7938
253,36,29430.63833251981,0.011690276994404803,1,70,21035,1439,22404
254,20,22980.684113492123,0.06892482891455773,1,760,5782,1380,6402
255,28,32694.172469980902,0.04486737185424177,1,356,6882,1813,8339
256,58,38844.683787768954,0.32246557369592266,1,330,9991,1823,11484
257,42,21188.72781566708,0.08646656451609794,1,104,7506,1617,9019
258,35,21010.01281972176,0.0373417351958967,0,48,0,0,-48
259,18,52224.188264885976,0.2087023636225628,1,223,6001,1921,7699
260,71,25988.359503403015,0.09990294476044437,0,67,0,0,-67
261,18,25621.9022090409,0.1663382765572344,1,1057,6654,1446,7043
262,74,23717.073186409405,0.05412729991986295,1,499,13547,1506,14554
263,19,29666.190994077268,0.14141434330266278,1,881,5415,1547,6081
264,75,36336.38227568537,0.08505662557618186,1,594,10646,1374,11426
265,40,22932.81431109814,0.07857129820903681,1,751,5580,1362,6191
266,48,26897.1338424748,0.05900070864283384,1,585,35022,1709,36146
267,67,21448.315357084954,0.5166419250842228,0,40,0,0,-40
268,49,26226.812386151407,0.05612985663528493,1,351,6694,1495,7838
269,69,22661.83929271378,0.2659684671893128,0,74,0,0,-74
270,68,21725.211137222486,0.1733888290327601,1,86,8215,1434,9563
271,22,24323.930935283694,0.140310343746341,0,55,0,0,-55
272,65,29977.641590370844,0.2388916483997014,1,630,5289,2059,6718
273,30,20122.368191823807,0.16823039712525792,1,435,9338,1617,10520
274,73,46945.49609326456,0.1714221510734698,1,465,6105,2152,7792
275,46,28308.784787855097,0.08334349783521411,1,238,5382,1522,6666
276,48,23768.987512629355,0.06807264919339577,1,284,5683,1346,6745
277,26,21496.62886884706,0.08355180385338956,0,90,0,0,-90
278,33,20369.009069460615,0.16976564900799979,1,431,7491,1771,8831
279,39,27701.059031491346,0.040108047711562206,1,285,5783,1355,6853
280,29,31801.962993582467,0.13022858612959567,0,59,0,0,-59
281,33,20588.120611377373,0.07710572801181692,1,67,5240,2287,7460
282,50,22995.418852538947,0.04194161697250336,1,589,11173,1805,12389
283,30,30553.9932243692,0.13984560645766328,0,3,0,0,-3
284,50,33164.51937211755,0.12498587869265806,1,895,6864,2204,8173
285,21,29854.229109877997,0.36796589456905626,1,33,21996,1506,23469
286,50,21470.447397730703,0.09753661696898586,1,342,6921,1355,7934
287,42,28199.0935900514,0.06084403938568423,1,178,10181,1416,11419
288,75,22203.14491779679,0.0009592722980951479,1,312,5375,1525,6588
289,48,32406.476446998407,0.039137082339407235,1,586,5449,2487,7350
290,24,27132.391233744598,0.09445127750158441,1,746,5239,2807,7300
291,27,29286.358962582155,0.11870383418301679,1,66,5956,1380,7270
292,63,22955.77222658839,0.16603458379757585,0,113,0,0,-113
293,30,25809.77995751385,0.03947167209038215,0,7,0,0,-7
294,40,27833.273022171576,0.14193418003095856,0,6,0,0,-6
295,40,51540.921645571354,0.34011833072964665,0,40,0,0,-40
296,45,29716.864691402843,0.09668815862046333,0,171,0,0,-171
297,24,60575.917439367186,0.006537720918189378,1,344,17654,1344,18654
298,22,20859.832899310648,0.37609891229872894,1,544,6612,2190,8258
299,19,22969.585400976808,0.4352399811017289,1,98,17202,1618,18722
300,61,53879.910099024724,0.12850493942074082,1,198,9723,1498,11023
301,54,26510.750133077006,0.13433250969486835,1,504,8890,1534,9920
302,52,30804.43144803103,0.03199792018607595,1,809,6003,1904,7098
303,18,20729.16819313169,0.01294882471415968,1,1372,13509,1840,13977
304,51,21577.421418839695,0.22001420719683146,1,717,8396,2456,10135
305,28,36773.27587146695,0.03409691130740683,0,44,0,0,-44
306,21,21382.23160655899,0.16332297223693956,0,65,0,0,-65
307,19,30316.577740408527,0.12619954435522374,1,1671,10599,2707,11635
308,74,35632.93710729135,0.0020637778532968517,1,1201,5892,1464,6155
309,29,26973.583772414688,0.004009465638050646,1,131,7033,1514,8416
310,53,25124.54874713502,0.283538311221112,1,783,13096,1601,13914
311,27,20913.250989904187,0.1308220505835756,1,605,22761,1348,23504
312,25,35375.181911346954,0.11658492346069695,0,0,0,0,0
313,26,21910.082459840396,0.0034754117674759004,1,305,8078,1531,9304
314,51,25202.52510271894,0.062436020690917776,0,2,0,0,-2
315,66,32962.35955753593,0.22888209496977954,1,53,7851,1418,9216
316,56,73897.16196667428,0.09909850925345272,1,1309,7854,2202,8747
317,38,24749.626635881184,0.02670206095184037,1,704,11536,2982,13814
318,23,48501.61749072243,0.2396747466189563,1,301,8551,1371,9621
319,20,25092.45174604427,0.23963154371961307,0,8,0,0,-8
320,24,23621.878638763643,0.026416822492861078,1,2981,5864,2694,5577
321,72,23805.483446653045,0.004496521295534756,1,324,5914,1408,6998
322,36,35795.687508560055,0.03128761885564017,1,295,13614,1807,15126
323,22,22034.628840064146,0.05446747563417519,0,34,0,0,-34
324,24,21283.577575993037,0.009796467831355786,1,155,5709,1394,6948
325,43,23328.080809760133,0.5455419906653627,0,4,0,0,-4
326,73,28082.50434384205,0.04548133771118865,1,297,5576,1519,6798
327,28,20033.555189522052,0.18054895879692612,1,439,5971,4747,10279
328,23,32720.06574088181,0.011503741294578306,1,296,7037,1410,8151
329,39,20096.066356609277,0.19721044963008694,1,57,5984,1497,7424
330,38,26712.21200231807,0.03903544244856201,1,666,6917,2291,8542
331,31,31327.795080021126,0.29489883173805365,1,198,6217,1336,7355
332,27,44657.605083882045,0.1768100726459753,1,841,7217,1554,7930
333,28,32563.441393678815,0.11958953960907082,1,1329,5770,1538,5979
334,47,24297.18102239403,0.2168270514792265,1,647,9377,1962,10692
335,27,23825.250297135033,0.08273141864981819,1,963,5986,2268,7291
336,39,25689.800327885136,0.02719552787048759,1,1738,13487,1867,13616
337,18,22390.227156035264,0.07855305446143748,1,74,6018,4801,10745
338,62,25996.115519110295,0.10260278164054207,1,593,5432,1564,6403
339,23,26950.249605311983,0.07147095326920248,1,51,6997,1384,8330
340,29,33303.99196836613,0.1684362463549622,1,252,8321,1598,9667
341,30,23060.137355070307,0.08391763287796816,1,1318,6180,3307,8169
342,30,21202.815064791306,0.0011413968909117394,1,785,5591,1718,6524
343,37,25486.472635219092,0.17712015211918,1,595,14726,1360,15491
344,20,28048.59138357577,0.270981743449108,0,61,0,0,-61
345,63,24844.90642082294,0.03626515836913424,1,8,9934,2218,12144
346,32,20643.976263361274,0.4245117470816316,1,518,9591,1569,10642
347,34,26388.41706272277,0.06713206853438616,0,61,0,0,-61
348,54,33191.28561906192,0.05524467052194541,1,528,9018,1334,9824
349,19,87007.8460010522,0.011871573973139336,1,630,158960,1569,159899
350,68,22827.41225737087,0.018218574595298936,1,123,6947,1414,8238
351,73,26680.56437295143,0.1810585554431416,1,1977,8627,1335,7985
352,18,20804.056980111513,0.15273488200262123,1,154,6547,1657,8050
353,27,28647.397942174954,0.4340790252257283,1,80,5705,1357,6982
354,23,22616.979217490756,0.08346743132274713,1,1077,7388,2287,8598
355,21,30070.520289812794,0.015115945044870939,1,163,9425,1432,10694
356,22,25458.07956694271,0.08990908185664696,1,620,9431,1352,10163
357,21,67767.20652643117,0.03408346301422376,1,325,17574,1369,18618
358,60,26174.871905437896,0.11513125862506886,1,1337,6007,1371,6041
359,26,22308.37997103456,0.11465977288040838,0,29,0,0,-29
360,18,27619.95291749678,0.1656616775125258,0,5,0,0,-5
361,18,22027.275260444927,0.030340342001141208,1,1616,5465,1599,5448
362,42,33283.39930369164,0.26294007305082756,0,77,0,0,-77
363,57,30095.40636995218,0.11808550732463619,1,1182,8411,1392,8621
364,50,40439.34304453591,0.10265986940291937,1,172,6757,1568,8153
365,41,21033.45998136197,0.12391249792591785,1,3504,7178,1456,5130
366,61,37839.51625720478,0.15339771051581302,1,87,8014,1596,9523
367,51,20053.512707812788,0.18408646967666187,0,82,0,0,-82
368,37,41672.81404989771,0.08049070860382507,1,807,25740,2857,27790
369,37,20525.292882648504,0.32790327933151875,1,25,6813,1745,8533
370,36,30416.838158734074,0.498500775188485,0,21,0,0,-21
371,45,36911.431338602204,0.13674424316889716,1,1269,5963,1569,6263
372,22,36394.57804837197,0.09024298776777231,1,96,7856,1656,9416
373,38,23901.49351583823,0.08502375128960357,1,400,8770,1367,9737
374,30,24876.12483231572,0.010353306352641456,0,64,0,0,-64
375,40,22133.202551446644,0.05195873376066853,0,104,0,0,-104
376,54,34897.304229392736,0.028485903583811856,1,501,6287,1551,7337
377,45,40679.787220151404,0.2610522129168844,1,213,7191,1544,8522
378,33,27419.06563004924,0.05000022437844791,1,65,24004,1685,25624
379,23,45065.97327522076,0.025503579535390317,1,235,5509,1442,6716
380,27,36242.7764903103,0.2034775071568267,1,575,5304,1739,6468
381,18,29776.486175596903,0.022530118324383418,1,155,5318,1857,7020
382,52,24503.084537093808,0.08351399126895949,1,379,8687,2794,11102
383,27,23994.660745512163,0.4158613240155652,0,48,0,0,-48
384,41,21260.432123456125,0.02126966038721254,1,497,8514,1557,9574
385,22,21816.61268553458,0.1664321726267902,1,406,6299,1509,7402
386,26,54553.60744325935,0.17470917401778438,1,305,7610,1643,8948
387,53,58636.32062670617,0.012281586665152925,1,468,5684,4645,9861
388,32,28872.123469664475,0.13939384275362923,0,81,0,0,-81
389,21,33852.66991528779,0.043228529820015744,0,29,0,0,-29
390,65,25372.415366028752,0.07228800334839378,1,176,5326,1630,6780
391,21,22031.05088374168,0.04395015973041545,1,276,11675,1594,12993
392,20,20341.950066134046,0.09481981860072673,1,717,10455,3616,13354
393,23,20359.975135698656,0.1520183060136723,1,305,8378,1530,9603
394,37,23612.03781522067,0.2258150060214375,0,50,0,0,-50
395,32,29793.406535856484,0.3070222975454614,1,128,5832,1682,7386
396,65,26944.131613482867,0.013886698589178539,1,549,10314,1930,11695
397,36,24343.235288084074,0.26995144047989533,1,1129,6042,1435,6348
398,33,70038.42977410003,0.2805830466674492,1,992,5747,2245,7000
399,64,33961.178031888485,0.0026981767788838546,1,78,5497,1569,6988
400,68,20387.930320470048,0.2690282162804598,1,152,10459,1848,12155
401,52,23367.433188777304,0.009265192160954948,1,420,5562,1469,6611
402,56,20806.821018337534,0.12857332263139926,1,312,5519,1459,6666
403,19,24655.581720436778,0.08219296306962547,1,518,10644,2312,12438
404,51,21239.99385846595,0.07383059623485744,0,5,0,0,-5
405,26,23661.84388712411,0.07605636840624871,1,183,7703,1392,8912
406,28,21276.62363330622,0.04460921731405104,1,62,6152,2598,8688
407,24,29816.99864682599,0.23711100393117227,0,21,0,0,-21
408,36,20829.917922551256,0.09205087364466925,1,213,7307,1541,8635
409,32,22525.3334533114,0.06593350745224046,1,526,15349,1944,16767
410,39,27099.553731828157,0.05574221583235245,1,821,5617,1480,6276
411,70,22448.23813957555,0.12718333177952776,1,189,6370,2975,9156
412,22,31033.19258251583,0.02475539854823631,1,313,14560,1516,15763
