ID,Флаг дозвона,Флаг продажи,Расходы,PV,NPV
185,0,0,8,0,-8
186,1,1,451,1285,834
187,1,1,59,1311,1252
188,1,1,269,1411,1142
189,1,1,109,1256,1147
190,1,0,250,0,-250
191,0,0,20,0,-20
192,0,0,135,0,-135
193,1,0,3,0,-3
194,0,0,17,0,-17
195,0,0,80,0,-80
196,1,1,85,1459,1374
197,1,0,16,0,-16
198,1,0,50,0,-50
199,1,0,31,0,-31
200,0,0,58,0,-58
201,1,0,87,0,-87
202,0,0,1,0,-1
203,0,0,143,0,-143
204,0,0,70,0,-70
205,0,0,4,0,-4
206,0,0,43,0,-43
207,0,0,115,0,-115
208,1,1,189,1628,1439
209,1,1,230,1209,979
210,1,0,3,0,-3
211,0,0,52,0,-52
212,1,0,8,0,-8
213,0,0,7,0,-7
214,1,1,36,1561,1525
215,0,0,34,0,-34
216,0,0,58,0,-58
217,0,0,51,0,-51
218,0,0,60,0,-60
219,1,0,123,0,-123
220,1,0,245,0,-245
221,0,0,32,0,-32
222,1,0,127,0,-127
223,1,1,760,1779,1019
224,0,0,16,0,-16
225,0,0,3,0,-3
226,0,0,32,0,-32
227,1,0,119,0,-119
228,1,1,705,1912,1207
229,1,0,2,0,-2
230,0,0,12,0,-12
231,1,1,697,1397,700
232,1,1,252,1939,1687
233,1,0,36,0,-36
234,0,0,118,0,-118
235,1,1,61,6384,6323
236,0,0,56,0,-56
237,1,1,425,1832,1407
238,1,1,864,1204,340
239,0,0,18,0,-18
240,0,0,9,0,-9
241,1,0,14,0,-14
242,0,0,67,0,-67
243,1,0,18,0,-18
244,1,0,16,0,-16
245,1,0,4,0,-4
246,1,1,98,1457,1359
247,1,1,460,3873,3413
248,0,0,71,0,-71
249,1,1,902,1229,327
250,0,0,71,0,-71
251,0,0,18,0,-18
252,1,1,539,1258,719
253,1,1,680,1449,769
254,1,1,475,1327,852
255,0,0,12,0,-12
256,0,0,32,0,-32
257,0,0,32,0,-32
258,0,0,30,0,-30
259,0,0,77,0,-77
260,1,0,27,0,-27
261,1,0,62,0,-62
262,1,1,577,2192,1615
263,1,1,446,1844,1398
264,1,0,3,0,-3
265,0,0,77,0,-77
266,1,0,40,0,-40
267,1,0,155,0,-155
268,1,0,92,0,-92
269,0,0,19,0,-19
270,1,0,31,0,-31
271,1,0,40,0,-40
272,0,0,2,0,-2
273,0,0,40,0,-40
274,1,1,423,1308,885
275,1,1,2012,1388,-624
276,0,0,17,0,-17
277,1,1,217,1420,1203
278,0,0,1,0,-1
279,0,0,148,0,-148
280,0,0,15,0,-15
281,1,0,30,0,-30
282,1,1,102,1285,1183
283,0,0,28,0,-28
284,1,0,24,0,-24
285,1,1,1307,1368,61
286,1,1,488,1524,1036
287,1,0,31,0,-31
288,0,0,0,0,0
289,1,0,51,0,-51
290,1,1,130,1870,1740
291,1,0,27,0,-27
292,1,0,42,0,-42
293,1,1,374,1281,907
294,0,0,16,0,-16
295,1,0,23,0,-23
296,1,1,456,1504,1048
297,1,1,432,1488,1056
298,0,0,12,0,-12
299,0,0,4,0,-4
300,1,0,86,0,-86
301,0,0,84,0,-84
302,1,1,455,1674,1219
303,1,1,777,1699,922
304,1,1,435,1213,778
305,0,0,36,0,-36
306,1,1,833,1256,423
307,0,0,40,0,-40
308,1,0,125,0,-125
309,1,1,362,1442,1080
310,0,0,15,0,-15
311,1,1,87,1215,1128
312,0,0,87,0,-87
313,0,0,75,0,-75
314,0,0,92,0,-92
315,0,0,143,0,-143
316,1,1,152,1404,1252
317,0,0,82,0,-82
318,1,1,14,2154,2140
319,0,0,48,0,-48
320,0,0,3,0,-3
321,1,1,389,1734,1345
322,1,0,0,0,0
323,1,1,578,1311,733
324,1,1,155,1228,1073
325,0,0,21,0,-21
326,1,1,116,1224,1108
327,1,0,112,0,-112
328,1,1,89,1301,1212
329,1,0,18,0,-18
330,1,1,168,5037,4869
331,0,0,239,0,-239
332,1,1,456,1380,924
333,0,0,72,0,-72
334,0,0,35,0,-35
335,0,0,324,0,-324
336,0,0,3,0,-3
337,0,0,5,0,-5
338,0,0,9,0,-9
339,0,0,6,0,-6
340,1,1,660,1210,550
341,0,0,73,0,-73
342,1,0,7,0,-7
343,1,0,15,0,-15
344,0,0,98,0,-98
345,1,0,53,0,-53
346,0,0,152,0,-152
347,1,0,19,0,-19
348,0,0,32,0,-32
349,0,0,43,0,-43
350,1,1,327,2215,1888
351,0,0,4,0,-4
352,1,1,469,1773,1304
353,1,0,54,0,-54
354,0,0,8,0,-8
355,0,0,5,0,-5
356,1,1,177,2245,2068
357,1,1,305,1220,915
358,1,1,806,3912,3106
359,0,0,58,0,-58
360,1,1,1316,1208,-108
361,1,1,625,1265,640
362,0,0,30,0,-30
363,1,1,1554,1304,-250
364,0,0,28,0,-28
365,1,0,61,0,-61
366,1,0,16,0,-16
367,0,0,112,0,-112
368,0,0,50,0,-50
369,0,0,2,0,-2
370,1,0,13,0,-13
371,1,1,75,1214,1139
372,1,1,646,1534,888
373,1,1,237,2213,1976
374,1,0,103,0,-103
375,0,0,83,0,-83
376,0,0,8,0,-8
377,1,1,488,2870,2382
378,1,1,7,1265,1258
379,0,0,69,0,-69
380,0,0,8,0,-8
381,1,1,193,1794,1601
382,1,1,520,1259,739
383,1,0,180,0,-180
384,1,1,1586,1575,-11
385,1,0,0,0,0
386,1,1,476,1247,771
387,1,1,368,1253,885
388,1,1,230,1619,1389
389,1,1,251,2916,2665
390,1,0,20,0,-20
391,0,0,89,0,-89
392,1,1,187,1250,1063
393,1,1,332,1513,1181
394,0,0,7,0,-7
395,1,0,26,0,-26
396,1,0,52,0,-52
397,1,0,17,0,-17
398,0,0,139,0,-139
399,1,1,375,1227,852
400,0,0,48,0,-48
401,0,0,38,0,-38
402,0,0,4,0,-4
403,0,0,19,0,-19
404,1,1,804,1398,594
405,0,0,64,0,-64
406,1,0,16,0,-16
407,0,0,29,0,-29
408,1,1,56,1224,1168
409,1,1,1608,1666,58
410,0,0,16,0,-16
411,1,0,21,0,-21
412,1,1,552,1459,907
413,0,0,80,0,-80
414,0,0,12,0,-12
415,1,1,209,1426,1217
416,0,0,42,0,-42
417,1,1,1152,1280,128
418,1,1,231,1380,1149
419,0,0,29,0,-29
420,1,0,71,0,-71
421,1,1,236,1868,1632
422,1,0,30,0,-30
423,1,1,73,1335,1262
424,1,1,71,3447,3376
425,1,0,27,0,-27
426,1,0,37,0,-37
427,1,0,37,0,-37
428,0,0,119,0,-119
429,1,0,212,0,-212
430,1,0,0,0,0
431,1,1,400,1518,1118
432,1,0,206,0,-206
433,1,1,278,1294,1016
434,1,1,20,1260,1240
435,1,0,17,0,-17
436,1,0,93,0,-93
437,0,0,21,0,-21
438,1,0,9,0,-9
439,0,0,8,0,-8
440,0,0,18,0,-18
441,1,0,18,0,-18
442,1,1,1266,2228,962
443,0,0,48,0,-48
444,1,1,1180,1371,191
445,1,0,1,0,-1
446,1,1,472,1664,1192
447,1,1,529,1507,978
448,1,1,183,1301,1118
449,1,0,1,0,-1
450,1,1,37,1398,1361
451,0,0,120,0,-120
452,1,1,333,1209,876
453,0,0,4,0,-4
454,0,0,117,0,-117
455,0,0,37,0,-37
456,0,0,51,0,-51
457,0,0,57,0,-57
458,0,0,140,0,-140
459,0,0,3,0,-3
460,1,1,426,1205,779
461,1,1,1225,1698,473
462,1,0,144,0,-144
463,0,0,1,0,-1
464,1,0,33,0,-33
465,0,0,49,0,-49
466,0,0,16,0,-16
467,0,0,3,0,-3
468,1,0,88,0,-88
469,1,0,48,0,-48
470,0,0,10,0,-10
471,0,0,80,0,-80
472,1,1,439,1744,1305
473,1,0,200,0,-200
474,0,0,97,0,-97
475,0,0,13,0,-13
476,0,0,67,0,-67
477,0,0,4,0,-4
478,0,0,23,0,-23
479,0,0,30,0,-30
480,0,0,150,0,-150
481,1,1,242,1465,1223
482,0,0,2,0,-2
483,1,0,20,0,-20
484,1,1,1560,1346,-214
485,1,0,63,0,-63
486,1,0,5,0,-5
487,1,0,90,0,-90
488,1,1,309,1824,1515
489,1,0,48,0,-48
490,1,1,189,1202,1013
491,0,0,37,0,-37
492,1,1,211,1412,1201
493,0,0,64,0,-64
494,1,0,114,0,-114
495,1,1,226,1540,1314
496,1,0,40,0,-40
497,1,1,823,1559,736
498,1,0,3,0,-3
499,1,1,190,1305,1115
500,1,0,29,0,-29
501,0,0,255,0,-255
502,0,0,17,0,-17
503,1,0,16,0,-16
504,0,0,5,0,-5
505,1,1,74,1205,1131
506,1,1,438,2390,1952
507,0,0,108,0,-108
508,1,0,33,0,-33
509,1,0,76,0,-76
510,1,1,736,1310,574
511,1,0,16,0,-16
512,1,0,124,0,-124
513,0,0,30,0,-30
514,0,0,53,0,-53
515,1,1,398,1445,1047
516,0,0,23,0,-23
517,0,0,114,0,-114
518,1,0,78,0,-78
519,0,0,60,0,-60
520,0,0,3,0,-3
521,0,0,0,0,0
522,1,0,22,0,-22
523,1,0,41,0,-41
524,1,0,26,0,-26
525,1,0,39,0,-39
526,0,0,11,0,-11
527,1,1,268,1438,1170
528,0,0,58,0,-58
529,1,1,331,1388,1057
530,0,0,95,0,-95
531,0,0,22,0,-22
532,0,0,12,0,-12
533,0,0,99,0,-99
534,0,0,7,0,-7
535,0,0,10,0,-10
536,1,0,56,0,-56
537,0,0,19,0,-19
538,0,0,1,0,-1
539,1,1,199,1286,1087
540,1,1,970,1531,561
541,0,0,93,0,-93
542,0,0,157,0,-157
543,0,0,20,0,-20
544,1,1,471,1286,815
545,1,0,118,0,-118
546,0,0,97,0,-97
547,0,0,31,0,-31
548,1,1,246,1320,1074
549,0,0,37,0,-37
550,0,0,42,0,-42
551,1,1,1440,1300,-140
552,1,0,9,0,-9
553,1,0,174,0,-174
554,1,0,33,0,-33
555,0,0,0,0,0
556,0,0,161,0,-161
557,1,1,301,1219,918
558,1,0,78,0,-78
559,0,0,26,0,-26
560,1,1,604,1561,957
561,0,0,14,0,-14
562,1,1,267,1266,999
563,0,0,203,0,-203
564,1,1,267,1279,1012
565,1,1,417,1226,809
566,1,1,296,1344,1048
567,0,0,27,0,-27
568,1,1,387,3454,3067
569,1,1,148,1441,1293
570,1,0,2,0,-2
571,1,1,1294,1517,223
572,1,0,29,0,-29
573,1,1,986,1243,257
574,1,1,833,1584,751
575,1,0,61,0,-61
576,1,0,175,0,-175
577,0,0,74,0,-74
578,1,1,333,1286,953
579,1,0,50,0,-50
580,0,0,7,0,-7
581,1,0,72,0,-72
582,1,0,49,0,-49
583,1,1,59,1219,1160
584,1,1,910,1536,626
585,0,0,16,0,-16
586,1,0,59,0,-59
587,0,0,3,0,-3
588,0,0,12,0,-12
589,1,0,202,0,-202
590,1,1,98,1420,1322
591,1,0,2,0,-2
592,1,1,148,1821,1673
593,1,1,137,1380,1243
594,0,0,114,0,-114
595,0,0,102,0,-102
596,1,0,50,0,-50
597,1,0,84,0,-84
598,0,0,12,0,-12
599,0,0,79,0,-79
600,0,0,30,0,-30
601,1,1,993,1221,228
602,1,1,565,1745,1180
603,0,0,6,0,-6
604,1,1,87,2724,2637
605,1,0,19,0,-19
606,0,0,147,0,-147
607,1,0,29,0,-29
608,1,1,2781,2131,-650
609,1,1,1013,4420,3407
610,0,0,16,0,-16
611,0,0,20,0,-20
612,0,0,49,0,-49
613,1,0,56,0,-56
614,1,0,99,0,-99
615,1,1,410,1222,812
616,0,0,7,0,-7
617,0,0,23,0,-23
618,0,0,20,0,-20
619,0,0,14,0,-14
620,1,1,297,1269,972
621,0,0,21,0,-21
622,1,0,12,0,-12
623,1,0,29,0,-29
624,1,1,996,2422,1426
625,0,0,55,0,-55
626,0,0,0,0,0
627,1,0,57,0,-57
628,1,0,18,0,-18
629,1,0,14,0,-14
630,1,0,0,0,0
631,0,0,19,0,-19
632,1,1,524,2328,1804
633,1,1,441,1466,1025
634,1,1,847,1422,575
635,0,0,11,0,-11
636,1,1,1074,1440,366
637,0,0,3,0,-3
638,1,1,123,1238,1115
639,0,0,75,0,-75
640,1,1,1519,3628,2109
641,1,1,683,1297,614
642,0,0,1,0,-1
643,1,0,61,0,-61
644,1,0,6,0,-6
645,1,0,57,0,-57
646,0,0,79,0,-79
647,0,0,36,0,-36
648,1,0,6,0,-6
649,1,0,7,0,-7
650,1,0,16,0,-16
651,1,0,42,0,-42
652,0,0,35,0,-35
653,0,0,55,0,-55
654,1,1,295,2124,1829
655,0,0,22,0,-22
656,0,0,34,0,-34
657,1,0,80,0,-80
658,1,0,39,0,-39
659,1,1,258,1390,1132
660,1,1,63,1410,1347
661,1,0,70,0,-70
662,1,1,111,1550,1439
663,1,1,132,3048,2916
664,0,0,50,0,-50
665,0,0,75,0,-75
666,0,0,39,0,-39
667,0,0,28,0,-28
668,1,0,6,0,-6
669,0,0,83,0,-83
670,1,1,322,1285,963
671,0,0,34,0,-34
672,1,0,26,0,-26
673,1,1,565,1327,762
674,0,0,57,0,-57
675,1,1,207,1352,1145
676,1,0,7,0,-7
677,1,0,4,0,-4
678,1,0,112,0,-112
679,1,0,12,0,-12
680,0,0,60,0,-60
681,1,1,470,1230,760
682,0,0,45,0,-45
683,1,1,559,1485,926
684,0,0,12,0,-12
685,1,1,886,1506,620
686,1,0,123,0,-123
687,1,1,358,1841,1483
688,0,0,9,0,-9
689,0,0,18,0,-18
690,0,0,51,0,-51
691,1,0,17,0,-17
692,1,0,32,0,-32
693,1,1,2092,1275,-817
694,0,0,25,0,-25
695,1,0,14,0,-14
696,1,0,9,0,-9
697,0,0,34,0,-34
698,0,0,40,0,-40
699,1,0,1,0,-1
700,1,0,11,0,-11
701,0,0,41,0,-41
702,1,0,4,0,-4
703,1,0,49,0,-49
704,0,0,92,0,-92
705,1,1,403,1254,851
706,0,0,138,0,-138
707,0,0,1,0,-1
708,1,0,52,0,-52
709,0,0,1,0,-1
710,1,1,482,1289,807
711,1,1,928,2301,1373
712,1,0,54,0,-54
713,0,0,13,0,-13
714,0,0,19,0,-19
715,1,1,159,1833,1674
716,0,0,83,0,-83
717,1,0,30,0,-30
718,1,1,1076,1323,247
719,1,1,112,1209,1097
720,1,1,128,1829,1701
721,1,1,406,1220,814
722,0,0,11,0,-11
723,1,1,1099,1422,323
724,0,0,64,0,-64
725,1,1,121,1578,1457
726,0,0,22,0,-22
727,0,0,2,0,-2
728,1,0,15,0,-15
729,1,1,31,1267,1236
730,0,0,75,0,-75
731,0,0,43,0,-43
732,1,1,144,1234,1090
733,1,0,16,0,-16
734,1,1,1101,1261,160
735,0,0,8,0,-8
736,0,0,84,0,-84
737,0,0,24,0,-24
738,1,0,6,0,-6
739,0,0,136,0,-136
740,0,0,54,0,-54
741,1,0,77,0,-77
742,1,0,15,0,-15
743,1,0,40,0,-40
744,1,0,24,0,-24
745,1,0,51,0,-51
746,0,0,21,0,-21
747,0,0,19,0,-19
748,0,0,23,0,-23
749,1,0,49,0,-49
750,0,0,12,0,-12
751,1,1,574,1855,1281
752,0,0,0,0,0
753,0,0,65,0,-65
754,0,0,25,0,-25
755,1,0,56,0,-56
756,0,0,32,0,-32
757,0,0,19,0,-19
758,1,0,45,0,-45
759,0,0,63,0,-63
760,1,0,186,0,-186
761,1,0,112,0,-112
762,0,0,10,0,-10
763,0,0,98,0,-98
764,1,1,1270,1615,345
765,0,0,34,0,-34
766,1,0,18,0,-18
767,0,0,57,0,-57
768,0,0,8,0,-8
769,1,1,170,1214,1044
770,0,0,12,0,-12
771,1,0,281,0,-281
772,0,0,16,0,-16
773,1,1,434,1394,960
774,0,0,85,0,-85
775,1,0,36,0,-36
776,1,0,25,0,-25
777,1,0,69,0,-69
778,1,0,26,0,-26
779,1,1,941,1764,823
780,0,0,22,0,-22
781,1,1,1373,1235,-138
782,1,0,22,0,-22
783,1,1,460,1497,1037
784,0,0,205,0,-205
785,1,0,8,0,-8
786,1,1,448,1880,1432
787,0,0,16,0,-16
788,1,1,243,1475,1232
789,1,1,1322,1237,-85
790,1,1,386,1220,834
791,0,0,17,0,-17
792,0,0,26,0,-26
793,1,1,173,1300,1127
794,0,0,67,0,-67
795,1,1,811,2083,1272
796,0,0,2,0,-2
797,1,1,159,2000,1841
798,0,0,46,0,-46
799,0,0,11,0,-11
800,1,0,73,0,-73
801,0,0,164,0,-164
802,1,0,57,0,-57
803,1,0,18,0,-18
804,1,1,473,1200,727
805,1,0,42,0,-42
806,0,0,0,0,0
807,0,0,54,0,-54
808,0,0,32,0,-32
809,1,0,14,0,-14
810,1,0,41,0,-41
811,0,0,19,0,-19
812,1,0,10,0,-10
813,1,1,344,1559,1215
814,0,0,88,0,-88
815,0,0,7,0,-7
816,0,0,33,0,-33
817,1,1,803,1339,536
818,0,0,0,0,0
819,1,1,1952,1210,-742
820,0,0,24,0,-24
821,1,1,49,2617,2568
822,1,1,189,1242,1053
823,1,0,12,0,-12
824,1,1,641,1499,858
825,1,1,213,1307,1094
826,0,0,15,0,-15
827,1,0,7,0,-7
828,1,1,990,1346,356
829,1,0,44,0,-44
830,1,0,163,0,-163
831,0,0,37,0,-37
832,0,0,15,0,-15
833,1,0,58,0,-58
834,0,0,14,0,-14
835,1,0,1,0,-1
836,0,0,6,0,-6
837,1,1,422,1451,1029
838,1,0,58,0,-58
839,1,1,259,2177,1918
840,1,1,123,1433,1310
841,0,0,80,0,-80
842,0,0,41,0,-41
843,0,0,71,0,-71
844,0,0,5,0,-5
845,1,0,86,0,-86
846,1,1,1096,1340,244
847,1,1,151,1783,1632
848,1,0,45,0,-45
849,0,0,92,0,-92
850,1,0,34,0,-34
851,0,0,94,0,-94
852,0,0,59,0,-59
853,1,0,27,0,-27
854,1,0,3,0,-3
855,1,0,38,0,-38
856,1,0,42,0,-42
857,0,0,37,0,-37
858,1,1,832,1284,452
859,0,0,95,0,-95
860,0,0,86,0,-86
861,1,1,370,1429,1059
862,0,0,37,0,-37
863,1,0,55,0,-55
864,0,0,93,0,-93
865,0,0,19,0,-19
866,1,0,1,0,-1
867,1,0,4,0,-4
868,0,0,38,0,-38
869,1,0,15,0,-15
870,0,0,7,0,-7
871,1,0,64,0,-64
872,1,0,112,0,-112
873,0,0,17,0,-17
874,1,1,147,1298,1151
875,1,0,107,0,-107
876,1,0,5,0,-5
877,0,0,40,0,-40
878,1,0,149,0,-149
879,0,0,10,0,-10
880,1,0,6,0,-6
881,1,1,142,2391,2249
882,1,1,459,1219,760
883,1,0,24,0,-24
884,0,0,15,0,-15
885,0,0,6,0,-6
886,0,0,65,0,-65
887,1,1,412,1322,910
888,1,0,119,0,-119
889,1,0,38,0,-38
890,1,1,180,1676,1496
891,1,0,24,0,-24
892,1,1,623,1238,615
893,1,0,82,0,-82
894,0,0,68,0,-68
895,1,1,462,1838,1376
896,0,0,9,0,-9
897,1,1,110,1327,1217
898,1,1,189,1590,1401
899,0,0,7,0,-7
900,1,0,4,0,-4
901,1,0,106,0,-106
902,1,1,465,1462,997
903,0,0,38,0,-38
904,0,0,87,0,-87
905,0,0,12,0,-12
906,1,0,50,0,-50
907,1,0,7,0,-7
908,0,0,141,0,-141
909,1,0,62,0,-62
910,1,0,34,0,-34
911,1,1,75,1421,1346
912,0,0,27,0,-27
913,1,1,375,1606,1231
914,1,0,39,0,-39
915,0,0,4,0,-4
916,0,0,30,0,-30
917,1,1,383,1690,1307
918,0,0,74,0,-74
919,0,0,18,0,-18
920,1,0,15,0,-15
921,1,0,28,0,-28
922,0,0,1,0,-1
923,0,0,86,0,-86
924,0,0,0,0,0
925,1,1,1320,1327,7
926,1,0,33,0,-33
927,0,0,12,0,-12
928,1,1,61,1248,1187
929,1,0,41,0,-41
930,0,0,20,0,-20
931,0,0,52,0,-52
932,0,0,33,0,-33
933,1,0,13,0,-13
934,1,1,409,2288,1879
935,1,1,275,1258,983
936,0,0,5,0,-5
937,0,0,8,0,-8
938,1,1,156,1341,1185
939,1,0,27,0,-27
940,0,0,35,0,-35
941,0,0,133,0,-133
942,0,0,4,0,-4
943,1,0,66,0,-66
944,1,0,57,0,-57
945,0,0,69,0,-69
946,1,0,132,0,-132
947,0,0,5,0,-5
948,0,0,120,0,-120
949,1,1,30,1209,1179
950,0,0,19,0,-19
951,0,0,165,0,-165
952,0,0,50,0,-50
953,1,1,174,1362,1188
954,1,0,38,0,-38
955,0,0,11,0,-11
956,0,0,8,0,-8
957,1,1,198,1282,1084
958,1,1,271,1485,1214
959,0,0,29,0,-29
960,1,1,81,1726,1645
961,0,0,34,0,-34
962,1,0,45,0,-45
963,1,1,17,1237,1220
964,0,0,68,0,-68
965,1,1,161,4597,4436
966,1,1,260,1671,1411
967,1,1,2782,1692,-1090
968,0,0,6,0,-6
969,1,1,826,1279,453
970,1,1,430,1229,799
971,0,0,8,0,-8
972,1,1,77,1291,1214
973,1,1,479,1485,1006
974,1,1,177,1610,1433
975,0,0,86,0,-86
976,0,0,55,0,-55
977,1,0,24,0,-24
978,1,0,54,0,-54
979,1,1,88,1927,1839
980,1,1,529,1325,796
981,0,0,39,0,-39
982,1,0,18,0,-18
983,1,0,12,0,-12
984,1,1,230,1465,1235
985,1,1,478,1497,1019
986,1,1,1128,1537,409
987,1,0,8,0,-8
988,0,0,69,0,-69
989,1,0,21,0,-21
990,0,0,51,0,-51
991,0,0,6,0,-6
992,0,0,22,0,-22
993,1,0,127,0,-127
994,0,0,8,0,-8
995,1,0,29,0,-29
996,1,1,525,1473,948
997,1,0,45,0,-45
998,0,0,6,0,-6
999,1,1,802,1771,969
1000,0,0,68,0,-68
1001,0,0,10,0,-10
1002,0,0,18,0,-18
1003,0,0,69,0,-69
1004,1,0,102,0,-102
1005,0,0,131,0,-131
1006,1,0,141,0,-141
1007,1,1,209,1224,1015
1008,1,1,174,1306,1132
1009,1,1,213,1491,1278
1010,1,0,3,0,-3
1011,0,0,101,0,-101
1012,1,0,6,0,-6
1013,1,0,43,0,-43
1014,0,0,13,0,-13
1015,1,0,88,0,-88
1016,1,1,154,1246,1092
1017,1,1,561,1702,1141
1018,0,0,11,0,-11
1019,1,1,262,1474,1212
1020,0,0,98,0,-98
1021,1,0,3,0,-3
1022,1,1,848,1889,1041
1023,1,0,53,0,-53
1024,0,0,26,0,-26
1025,0,0,20,0,-20
1026,0,0,87,0,-87
1027,1,0,37,0,-37
1028,1,1,16,2669,2653
1029,0,0,58,0,-58
1030,1,0,32,0,-32
1031,1,1,755,1321,566
1032,1,1,497,1326,829
1033,1,1,402,1212,810
1034,1,0,55,0,-55
1035,0,0,28,0,-28
1036,1,0,0,0,0
1037,1,1,1124,1455,331
1038,0,0,92,0,-92
1039,1,0,21,0,-21
1040,1,1,540,1403,863
1041,1,0,7,0,-7
1042,0,0,117,0,-117
1043,0,0,91,0,-91
1044,1,0,52,0,-52
1045,1,0,45,0,-45
1046,1,0,38,0,-38
1047,0,0,14,0,-14
1048,0,0,78,0,-78
1049,1,1,273,1912,1639
