ID,Флаг дозвона,Флаг продажи,Расходы,PV,NPV
84,0,0,320,0,-320
85,1,0,1,0,-1
86,0,0,23,0,-23
87,1,1,1252,1569,317
88,0,0,62,0,-62
89,0,0,41,0,-41
90,1,0,12,0,-12
91,1,1,827,1416,589
92,0,0,24,0,-24
93,0,0,23,0,-23
94,0,0,9,0,-9
95,1,0,34,0,-34
96,0,0,76,0,-76
97,1,0,3,0,-3
98,1,0,53,0,-53
99,1,1,3664,1209,-2455
100,0,0,15,0,-15
101,0,0,12,0,-12
102,1,0,29,0,-29
103,1,1,487,1402,915
104,1,1,43,1274,1231
105,1,1,189,1698,1509
106,1,1,787,1373,586
107,1,1,221,1821,1600
108,1,1,132,1349,1217
109,1,0,65,0,-65
110,1,0,158,0,-158
111,1,0,14,0,-14
112,1,0,22,0,-22
113,1,0,24,0,-24
114,1,1,246,1315,1069
115,1,0,8,0,-8
116,0,0,41,0,-41
117,1,0,80,0,-80
118,1,1,70,1208,1138
119,1,0,21,0,-21
120,0,0,36,0,-36
121,0,0,27,0,-27
122,1,1,150,2936,2786
123,0,0,12,0,-12
124,0,0,55,0,-55
125,0,0,6,0,-6
126,0,0,16,0,-16
127,1,1,1803,1208,-595
128,0,0,10,0,-10
129,1,1,389,1365,976
130,0,0,0,0,0
131,0,0,10,0,-10
132,0,0,156,0,-156
133,0,0,141,0,-141
134,1,0,191,0,-191
135,1,0,37,0,-37
136,0,0,41,0,-41
137,0,0,77,0,-77
138,0,0,70,0,-70
139,0,0,0,0,0
140,1,0,45,0,-45
141,1,0,12,0,-12
142,1,0,16,0,-16
143,0,0,13,0,-13
144,0,0,51,0,-51
145,0,0,126,0,-126
146,1,1,251,1360,1109
147,0,0,34,0,-34
148,0,0,64,0,-64
149,1,0,9,0,-9
150,0,0,84,0,-84
151,1,1,187,1518,1331
152,1,0,11,0,-11
153,1,1,889,1287,398
154,1,1,155,1538,1383
155,0,0,59,0,-59
156,0,0,55,0,-55
157,1,0,31,0,-31
158,1,1,458,1544,1086
159,0,0,51,0,-51
160,1,0,14,0,-14
161,0,0,127,0,-127
162,1,0,20,0,-20
163,1,0,24,0,-24
164,0,0,35,0,-35
165,1,0,1,0,-1
166,1,0,84,0,-84
167,0,0,126,0,-126
168,0,0,50,0,-50
169,1,0,4,0,-4
170,1,0,85,0,-85
171,1,1,321,1476,1155
172,0,0,156,0,-156
173,0,0,84,0,-84
174,1,0,32,0,-32
175,1,0,11,0,-11
176,1,0,69,0,-69
177,0,0,10,0,-10
178,1,1,589,1375,786
179,0,0,37,0,-37
180,1,1,1664,1280,-384
181,1,1,35,1827,1792
182,1,0,19,0,-19
183,0,0,7,0,-7
184,1,1,223,1756,1533
185,0,0,143,0,-143
186,0,0,48,0,-48
187,1,0,1,0,-1
188,1,0,68,0,-68
189,1,1,93,1430,1337
190,1,0,45,0,-45
191,0,0,54,0,-54
192,0,0,85,0,-85
193,1,0,1,0,-1
194,1,1,248,1992,1744
195,1,0,99,0,-99
196,1,0,34,0,-34
197,0,0,75,0,-75
198,0,0,124,0,-124
199,1,0,23,0,-23
200,0,0,3,0,-3
201,1,1,904,1528,624
202,0,0,130,0,-130
203,1,0,29,0,-29
204,1,1,134,2478,2344
205,0,0,40,0,-40
206,1,1,813,1537,724
207,0,0,24,0,-24
208,1,0,194,0,-194
209,1,0,1,0,-1
210,1,1,110,1273,1163
211,0,0,237,0,-237
212,0,0,15,0,-15
213,0,0,46,0,-46
214,1,0,107,0,-107
215,0,0,28,0,-28
216,1,1,669,2294,1625
217,1,0,16,0,-16
218,1,0,34,0,-34
219,1,0,127,0,-127
220,1,1,225,1332,1107
221,1,1,379,1258,879
222,1,1,400,1554,1154
223,0,0,70,0,-70
224,1,0,7,0,-7
225,1,1,1104,1548,444
226,1,0,52,0,-52
227,0,0,116,0,-116
228,0,0,11,0,-11
229,1,0,32,0,-32
230,0,0,101,0,-101
231,1,0,48,0,-48
232,0,0,136,0,-136
233,0,0,16,0,-16
234,1,1,574,1509,935
235,1,1,249,1358,1109
236,1,1,154,1427,1273
237,1,0,30,0,-30
238,1,0,0,0,0
239,1,1,174,1347,1173
240,0,0,39,0,-39
241,1,1,906,1297,391
242,0,0,19,0,-19
243,0,0,22,0,-22
244,1,0,64,0,-64
245,1,1,1486,1458,-28
246,1,0,64,0,-64
247,1,0,324,0,-324
248,1,1,548,1617,1069
249,1,0,26,0,-26
250,1,1,206,1376,1170
251,1,0,9,0,-9
252,1,0,17,0,-17
253,0,0,30,0,-30
254,1,1,1386,1646,260
255,0,0,20,0,-20
256,1,0,27,0,-27
257,1,1,87,1377,1290
258,1,0,40,0,-40
259,1,1,384,1249,865
260,1,0,31,0,-31
261,0,0,54,0,-54
262,0,0,22,0,-22
263,1,0,90,0,-90
264,1,0,129,0,-129
265,1,1,71,2489,2418
266,1,0,170,0,-170
267,0,0,70,0,-70
268,1,0,21,0,-21
269,1,1,235,1762,1527
270,0,0,8,0,-8
271,0,0,61,0,-61
272,1,0,13,0,-13
273,1,1,354,2343,1989
274,1,0,38,0,-38
275,0,0,12,0,-12
276,1,1,81,1688,1607
277,1,0,4,0,-4
278,0,0,48,0,-48
279,1,1,628,1711,1083
280,0,0,14,0,-14
281,0,0,46,0,-46
282,1,0,174,0,-174
283,1,0,63,0,-63
284,1,1,277,1468,1191
285,0,0,3,0,-3
286,1,0,64,0,-64
287,1,0,87,0,-87
288,0,0,3,0,-3
289,0,0,85,0,-85
290,0,0,4,0,-4
291,1,1,2351,2582,231
292,0,0,66,0,-66
293,1,1,621,1243,622
294,0,0,12,0,-12
295,0,0,18,0,-18
296,1,0,191,0,-191
297,0,0,40,0,-40
298,1,0,20,0,-20
299,1,0,0,0,0
300,0,0,1,0,-1
301,0,0,34,0,-34
302,0,0,55,0,-55
303,1,0,80,0,-80
304,0,0,35,0,-35
305,1,0,20,0,-20
306,0,0,54,0,-54
307,1,0,8,0,-8
308,0,0,54,0,-54
309,0,0,150,0,-150
310,1,0,6,0,-6
311,1,0,67,0,-67
312,0,0,4,0,-4
313,0,0,70,0,-70
314,0,0,2,0,-2
315,1,1,150,1353,1203
316,1,1,571,1359,788
317,1,1,29,2153,2124
318,1,0,146,0,-146
319,1,1,1542,1342,-200
320,1,0,4,0,-4
321,0,0,35,0,-35
322,0,0,10,0,-10
323,1,1,455,1200,745
324,1,1,177,1234,1057
325,0,0,21,0,-21
326,0,0,25,0,-25
327,1,0,41,0,-41
328,1,1,43,1352,1309
329,0,0,3,0,-3
330,1,1,456,1226,770
331,1,0,62,0,-62
332,1,1,27,1251,1224
333,1,0,37,0,-37
334,0,0,182,0,-182
335,1,0,0,0,0
336,0,0,17,0,-17
337,0,0,65,0,-65
338,1,0,3,0,-3
339,1,0,2,0,-2
340,1,0,60,0,-60
341,1,0,62,0,-62
342,1,1,418,1586,1168
343,1,1,249,1218,969
344,0,0,37,0,-37
345,1,1,132,1408,1276
346,1,1,140,2794,2654
347,1,0,33,0,-33
348,1,1,327,3194,2867
349,1,0,11,0,-11
350,0,0,38,0,-38
351,0,0,53,0,-53
352,1,1,907,1558,651
353,1,0,109,0,-109
354,1,1,969,1221,252
355,0,0,89,0,-89
356,0,0,95,0,-95
357,1,1,172,1433,1261
358,0,0,0,0,0
359,1,0,53,0,-53
360,0,0,131,0,-131
361,0,0,11,0,-11
362,1,0,17,0,-17
363,1,1,149,1639,1490
364,0,0,117,0,-117
365,1,0,40,0,-40
366,0,0,10,0,-10
367,0,0,47,0,-47
368,0,0,46,0,-46
369,1,1,1077,1350,273
370,1,0,20,0,-20
371,0,0,40,0,-40
372,0,0,126,0,-126
373,1,0,67,0,-67
374,1,1,376,1299,923
375,1,1,1289,1367,78
376,1,1,91,1454,1363
377,1,1,494,1344,850
378,0,0,2,0,-2
379,1,1,395,1433,1038
380,1,0,46,0,-46
381,1,0,30,0,-30
382,0,0,35,0,-35
383,0,0,51,0,-51
384,0,0,6,0,-6
385,0,0,36,0,-36
386,0,0,35,0,-35
387,1,0,1,0,-1
388,0,0,50,0,-50
389,0,0,41,0,-41
390,0,0,64,0,-64
391,1,1,715,2111,1396
392,0,0,10,0,-10
393,0,0,88,0,-88
394,0,0,43,0,-43
395,1,0,1,0,-1
396,0,0,7,0,-7
397,0,0,10,0,-10
398,0,0,31,0,-31
399,1,1,505,1602,1097
400,1,0,64,0,-64
401,0,0,120,0,-120
402,1,1,153,1290,1137
403,1,1,22,2120,2098
404,1,0,15,0,-15
405,1,0,67,0,-67
406,1,0,62,0,-62
407,0,0,12,0,-12
408,0,0,21,0,-21
409,1,1,373,1327,954
410,0,0,106,0,-106
411,1,1,255,1208,953
412,1,0,146,0,-146
413,0,0,60,0,-60
414,1,1,2476,1500,-976
415,0,0,78,0,-78
416,1,0,3,0,-3
417,1,1,62,1303,1241
418,0,0,14,0,-14
419,1,0,12,0,-12
420,0,0,6,0,-6
421,0,0,114,0,-114
422,0,0,67,0,-67
423,1,0,99,0,-99
424,1,0,98,0,-98
425,0,0,164,0,-164
426,1,0,44,0,-44
427,0,0,48,0,-48
428,1,1,715,1272,557
429,1,0,81,0,-81
430,1,0,106,0,-106
431,1,0,48,0,-48
432,0,0,6,0,-6
433,1,0,27,0,-27
434,0,0,23,0,-23
435,0,0,16,0,-16
436,1,0,5,0,-5
437,1,0,19,0,-19
438,0,0,65,0,-65
439,1,0,67,0,-67
440,0,0,18,0,-18
441,0,0,83,0,-83
442,1,1,378,1345,967
443,0,0,0,0,0
444,1,1,141,1400,1259
445,1,1,1174,1268,94
446,1,0,5,0,-5
447,1,1,258,1373,1115
448,0,0,53,0,-53
449,0,0,157,0,-157
450,1,0,32,0,-32
451,1,1,866,1246,380
452,0,0,4,0,-4
453,0,0,36,0,-36
454,1,1,272,1473,1201
455,0,0,33,0,-33
456,1,0,100,0,-100
457,0,0,48,0,-48
458,1,0,56,0,-56
459,1,1,389,1581,1192
460,0,0,29,0,-29
461,0,0,22,0,-22
462,1,0,25,0,-25
463,1,1,103,1258,1155
464,1,0,19,0,-19
465,0,0,122,0,-122
466,0,0,165,0,-165
467,0,0,62,0,-62
468,0,0,22,0,-22
469,0,0,3,0,-3
470,0,0,157,0,-157
471,1,0,30,0,-30
472,0,0,78,0,-78
473,1,1,417,1295,878
474,1,0,37,0,-37
475,1,0,3,0,-3
476,0,0,103,0,-103
477,1,0,4,0,-4
478,0,0,9,0,-9
479,0,0,57,0,-57
480,1,1,217,1550,1333
481,1,0,9,0,-9
482,1,0,90,0,-90
483,0,0,29,0,-29
484,1,0,46,0,-46
485,1,1,169,1211,1042
486,0,0,36,0,-36
487,1,1,1472,1357,-115
488,1,1,172,1249,1077
489,1,0,7,0,-7
490,0,0,218,0,-218
491,0,0,20,0,-20
492,1,1,704,1241,537
493,0,0,61,0,-61
494,0,0,88,0,-88
495,0,0,3,0,-3
496,1,1,793,1343,550
497,0,0,6,0,-6
498,1,0,16,0,-16
499,1,0,73,0,-73
500,0,0,109,0,-109
501,0,0,4,0,-4
502,1,0,22,0,-22
503,1,1,340,1410,1070
504,1,0,96,0,-96
505,1,0,82,0,-82
506,1,1,321,1541,1220
507,1,1,693,1288,595
508,0,0,45,0,-45
509,1,1,390,1381,991
510,1,1,62,1389,1327
511,0,0,57,0,-57
512,1,1,74,1430,1356
513,1,0,79,0,-79
514,1,1,688,1202,514
515,1,0,4,0,-4
516,1,1,467,1497,1030
517,0,0,30,0,-30
518,0,0,5,0,-5
519,1,0,186,0,-186
520,1,0,20,0,-20
521,1,1,1075,1801,726
522,1,0,66,0,-66
523,1,1,403,1375,972
524,1,0,66,0,-66
525,0,0,46,0,-46
526,1,0,90,0,-90
527,0,0,27,0,-27
528,1,0,159,0,-159
529,0,0,15,0,-15
530,0,0,16,0,-16
531,1,0,0,0,0
532,0,0,94,0,-94
533,1,1,281,1340,1059
534,0,0,55,0,-55
535,1,1,19,2060,2041
536,1,0,4,0,-4
537,1,0,52,0,-52
538,1,1,296,1414,1118
539,1,1,597,1658,1061
540,0,0,82,0,-82
541,1,0,22,0,-22
542,0,0,116,0,-116
543,0,0,63,0,-63
544,0,0,22,0,-22
545,1,1,576,1249,673
546,1,1,175,1347,1172
547,1,0,33,0,-33
548,1,0,10,0,-10
549,1,1,450,1682,1232
550,1,0,29,0,-29
551,1,0,45,0,-45
552,0,0,58,0,-58
553,0,0,54,0,-54
554,1,1,664,1523,859
555,1,0,59,0,-59
556,0,0,15,0,-15
557,1,1,455,1554,1099
558,1,1,533,1311,778
559,0,0,80,0,-80
560,1,0,276,0,-276
561,1,1,836,1203,367
562,0,0,29,0,-29
563,1,1,332,1328,996
564,1,1,415,1450,1035
565,0,0,22,0,-22
566,1,0,0,0,0
567,1,1,200,1247,1047
568,0,0,9,0,-9
569,1,0,11,0,-11
570,0,0,11,0,-11
571,0,0,11,0,-11
572,1,0,215,0,-215
573,1,0,34,0,-34
574,0,0,11,0,-11
575,1,0,53,0,-53
576,1,0,1,0,-1
577,0,0,76,0,-76
578,0,0,79,0,-79
579,1,0,1,0,-1
580,1,1,48,1221,1173
581,1,0,54,0,-54
582,0,0,73,0,-73
583,0,0,83,0,-83
584,0,0,33,0,-33
585,0,0,63,0,-63
586,1,1,1507,2190,683
587,1,1,679,1539,860
588,1,1,190,1314,1124
589,1,0,55,0,-55
590,1,1,1080,1629,549
591,0,0,58,0,-58
592,0,0,32,0,-32
593,0,0,25,0,-25
594,1,0,42,0,-42
595,0,0,88,0,-88
596,0,0,58,0,-58
597,1,0,3,0,-3
598,0,0,12,0,-12
599,0,0,15,0,-15
600,1,0,33,0,-33
601,0,0,105,0,-105
602,0,0,38,0,-38
603,1,0,39,0,-39
604,1,1,448,1346,898
605,0,0,49,0,-49
606,1,0,86,0,-86
607,1,0,51,0,-51
608,1,0,49,0,-49
609,1,1,32,1317,1285
610,0,0,155,0,-155
611,1,1,235,1368,1133
612,1,1,569,1204,635
613,1,0,17,0,-17
614,1,1,463,1360,897
615,1,0,28,0,-28
616,1,0,2,0,-2
617,1,1,1885,1653,-232
618,0,0,17,0,-17
619,1,0,27,0,-27
620,1,1,463,1828,1365
621,0,0,10,0,-10
622,1,0,14,0,-14
623,1,0,2,0,-2
624,0,0,33,0,-33
625,1,1,322,1201,879
626,1,1,108,1784,1676
627,0,0,60,0,-60
628,1,0,119,0,-119
629,1,0,51,0,-51
630,0,0,24,0,-24
631,1,1,245,1386,1141
632,0,0,35,0,-35
633,1,0,52,0,-52
634,0,0,64,0,-64
635,0,0,100,0,-100
636,0,0,10,0,-10
637,0,0,29,0,-29
638,0,0,7,0,-7
639,1,0,57,0,-57
640,0,0,59,0,-59
641,0,0,1,0,-1
642,1,0,5,0,-5
643,1,0,37,0,-37
644,1,0,70,0,-70
645,1,1,2173,1404,-769
646,0,0,49,0,-49
647,1,0,233,0,-233
648,1,1,212,1374,1162
649,0,0,5,0,-5
650,0,0,197,0,-197
651,1,0,118,0,-118
652,1,0,20,0,-20
653,1,0,65,0,-65
654,1,0,74,0,-74
655,1,1,206,1382,1176
656,1,1,49,1703,1654
657,0,0,3,0,-3
658,1,0,85,0,-85
659,1,0,3,0,-3
660,1,0,62,0,-62
661,1,1,965,1580,615
662,1,0,54,0,-54
663,1,1,267,1489,1222
664,1,0,103,0,-103
665,0,0,167,0,-167
666,1,1,66,1716,1650
667,0,0,9,0,-9
668,1,1,1532,1431,-101
669,1,0,0,0,0
670,1,1,138,1457,1319
671,1,0,10,0,-10
672,1,0,83,0,-83
673,1,0,80,0,-80
674,1,0,25,0,-25
675,1,1,331,1206,875
676,1,0,11,0,-11
677,1,0,34,0,-34
678,0,0,63,0,-63
679,0,0,27,0,-27
680,1,0,156,0,-156
681,1,1,152,1330,1178
682,0,0,110,0,-110
683,0,0,44,0,-44
684,1,0,27,0,-27
685,1,1,1202,1215,13
686,0,0,107,0,-107
687,0,0,10,0,-10
688,0,0,21,0,-21
689,1,0,10,0,-10
690,1,1,138,1445,1307
691,1,0,15,0,-15
692,0,0,81,0,-81
693,1,0,16,0,-16
694,0,0,31,0,-31
695,1,1,226,2085,1859
696,1,0,24,0,-24
697,1,0,0,0,0
698,1,0,19,0,-19
699,0,0,80,0,-80
700,0,0,0,0,0
701,1,0,87,0,-87
702,1,0,34,0,-34
703,1,1,311,1212,901
704,0,0,86,0,-86
705,0,0,155,0,-155
706,1,1,632,1453,821
707,0,0,1,0,-1
708,1,1,105,1425,1320
709,1,1,273,1652,1379
710,0,0,15,0,-15
711,1,0,12,0,-12
712,0,0,59,0,-59
713,1,1,588,2253,1665
714,0,0,21,0,-21
715,0,0,30,0,-30
716,1,0,19,0,-19
717,0,0,7,0,-7
718,1,1,941,1246,305
719,1,1,281,1301,1020
720,1,1,1038,1508,470
721,0,0,13,0,-13
722,1,0,121,0,-121
723,0,0,33,0,-33
724,0,0,2,0,-2
725,1,0,8,0,-8
726,1,0,68,0,-68
727,1,1,197,7083,6886
728,1,1,332,1262,930
729,1,1,124,1994,1870
730,0,0,3,0,-3
731,1,0,1,0,-1
732,1,0,12,0,-12
733,0,0,51,0,-51
734,0,0,0,0,0
735,1,1,932,1417,485
736,0,0,10,0,-10
737,0,0,86,0,-86
738,1,0,7,0,-7
739,1,0,2,0,-2
740,0,0,2,0,-2
741,1,0,5,0,-5
742,1,0,89,0,-89
743,1,0,90,0,-90
744,1,1,245,1345,1100
745,0,0,17,0,-17
746,1,0,25,0,-25
747,1,1,1417,1495,78
748,1,1,276,2695,2419
749,1,1,518,1282,764
750,0,0,7,0,-7
751,0,0,28,0,-28
752,1,1,584,1840,1256
753,1,0,13,0,-13
754,1,1,614,1251,637
755,1,1,250,2001,1751
756,0,0,165,0,-165
757,0,0,69,0,-69
758,1,1,847,1874,1027
759,1,0,10,0,-10
760,1,0,33,0,-33
761,1,1,262,1235,973
762,1,1,1669,1532,-137
763,1,1,377,1990,1613
764,1,0,40,0,-40
765,1,1,771,1923,1152
766,1,1,869,1361,492
767,1,0,4,0,-4
768,1,0,4,0,-4
769,1,1,669,1288,619
770,0,0,48,0,-48
771,0,0,64,0,-64
772,1,0,79,0,-79
773,1,0,15,0,-15
774,0,0,71,0,-71
775,0,0,25,0,-25
776,0,0,30,0,-30
777,0,0,69,0,-69
778,0,0,47,0,-47
779,0,0,27,0,-27
780,1,1,15,1621,1606
781,1,0,40,0,-40
782,1,0,28,0,-28
783,1,1,637,1377,740
784,0,0,0,0,0
785,1,0,6,0,-6
786,1,0,175,0,-175
787,0,0,34,0,-34
788,1,0,35,0,-35
789,1,0,9,0,-9
790,0,0,29,0,-29
791,0,0,37,0,-37
792,0,0,23,0,-23
793,0,0,72,0,-72
794,0,0,40,0,-40
795,1,1,528,1287,759
796,0,0,11,0,-11
797,1,0,65,0,-65
798,1,0,31,0,-31
799,0,0,39,0,-39
800,0,0,9,0,-9
801,0,0,20,0,-20
802,0,0,23,0,-23
803,1,0,13,0,-13
804,1,1,1434,1299,-135
805,0,0,38,0,-38
806,0,0,35,0,-35
807,1,1,1020,1288,268
808,1,0,44,0,-44
809,0,0,34,0,-34
810,1,0,7,0,-7
811,0,0,85,0,-85
812,0,0,39,0,-39
813,1,0,2,0,-2
814,1,0,10,0,-10
815,0,0,39,0,-39
816,1,1,733,1323,590
817,0,0,0,0,0
818,1,1,273,1275,1002
819,1,0,60,0,-60
820,1,1,47,1682,1635
821,0,0,75,0,-75
822,1,1,491,1207,716
823,0,0,38,0,-38
824,1,1,98,1344,1246
825,0,0,28,0,-28
826,1,1,2295,1219,-1076
827,1,0,71,0,-71
828,1,1,153,1715,1562
829,1,0,42,0,-42
830,0,0,41,0,-41
831,0,0,234,0,-234
832,0,0,30,0,-30
833,0,0,2,0,-2
834,1,1,766,1402,636
835,1,1,575,1453,878
836,1,0,6,0,-6
837,1,1,96,1532,1436
838,0,0,71,0,-71
839,0,0,84,0,-84
840,0,0,48,0,-48
841,1,1,289,1240,951
842,1,1,846,1304,458
843,1,0,73,0,-73
844,1,1,291,1728,1437
845,1,1,106,1387,1281
846,1,1,29,1533,1504
847,0,0,107,0,-107
848,1,0,71,0,-71
849,1,0,49,0,-49
850,0,0,9,0,-9
851,1,0,14,0,-14
852,0,0,22,0,-22
853,1,0,70,0,-70
854,1,0,4,0,-4
855,0,0,123,0,-123
856,1,1,325,1539,1214
857,0,0,5,0,-5
858,1,0,13,0,-13
859,1,1,130,1279,1149
860,0,0,53,0,-53
861,0,0,122,0,-122
862,1,1,347,1217,870
863,0,0,7,0,-7
864,1,1,620,1900,1280
865,0,0,0,0,0
866,0,0,6,0,-6
867,1,0,54,0,-54
868,0,0,13,0,-13
869,1,1,191,1266,1075
870,1,0,9,0,-9
871,0,0,14,0,-14
872,1,1,664,1556,892
873,1,0,10,0,-10
874,1,0,78,0,-78
875,1,0,0,0,0
876,1,0,32,0,-32
877,0,0,81,0,-81
878,1,0,31,0,-31
879,0,0,32,0,-32
880,0,0,24,0,-24
881,1,0,80,0,-80
882,1,0,17,0,-17
883,1,1,346,1375,1029
884,1,1,315,1961,1646
885,1,1,158,1250,1092
886,0,0,19,0,-19
887,1,1,282,1977,1695
888,0,0,18,0,-18
889,0,0,44,0,-44
890,1,1,109,1577,1468
891,1,0,52,0,-52
892,1,1,682,1779,1097
893,0,0,25,0,-25
894,0,0,29,0,-29
895,1,1,1250,1360,110
896,1,1,190,1320,1130
897,0,0,13,0,-13
898,1,1,617,1334,717
899,1,0,87,0,-87
900,0,0,0,0,0
901,0,0,122,0,-122
902,1,0,4,0,-4
903,1,1,161,1359,1198
904,1,1,121,1272,1151
905,1,0,7,0,-7
906,1,1,648,3086,2438
907,1,1,386,1263,877
908,1,0,15,0,-15
909,1,1,844,1656,812
910,1,1,182,1239,1057
911,1,1,443,1892,1449
912,0,0,6,0,-6
913,0,0,118,0,-118
914,1,0,67,0,-67
915,0,0,18,0,-18
916,1,1,56,1241,1185
917,0,0,59,0,-59
918,0,0,15,0,-15
919,1,0,75,0,-75
920,1,0,59,0,-59
921,1,1,122,1571,1449
922,1,0,28,0,-28
923,0,0,74,0,-74
924,0,0,5,0,-5
925,1,0,23,0,-23
926,0,0,11,0,-11
927,0,0,46,0,-46
928,1,1,1226,5552,4326
929,1,1,280,2751,2471
930,0,0,25,0,-25
931,0,0,2,0,-2
932,1,0,37,0,-37
933,1,1,177,1261,1084
934,1,0,6,0,-6
935,0,0,60,0,-60
936,0,0,90,0,-90
937,1,1,489,1808,1319
938,1,1,135,1412,1277
939,1,1,253,1369,1116
940,0,0,15,0,-15
941,0,0,9,0,-9
942,1,0,60,0,-60
943,0,0,37,0,-37
944,0,0,50,0,-50
945,0,0,27,0,-27
946,1,1,369,1428,1059
947,1,0,53,0,-53
948,0,0,46,0,-46
949,1,0,0,0,0
950,0,0,416,0,-416
951,1,0,8,0,-8
952,0,0,86,0,-86
953,0,0,57,0,-57
954,1,1,1209,1573,364
955,1,1,1101,1961,860
956,1,0,0,0,0
957,1,0,31,0,-31
958,1,0,180,0,-180
959,1,0,60,0,-60
960,0,0,0,0,0
961,1,1,116,1467,1351
962,0,0,1,0,-1
963,0,0,38,0,-38
964,0,0,39,0,-39
965,0,0,49,0,-49
966,1,1,246,1722,1476
967,0,0,14,0,-14
968,0,0,10,0,-10
969,0,0,90,0,-90
970,0,0,33,0,-33
971,1,0,7,0,-7
972,0,0,116,0,-116
973,1,1,624,1504,880
974,1,1,86,1914,1828
975,0,0,66,0,-66
976,1,1,183,1844,1661
977,1,0,36,0,-36
978,0,0,50,0,-50
979,0,0,218,0,-218
980,1,0,13,0,-13
981,1,1,265,1308,1043
982,0,0,7,0,-7
983,0,0,5,0,-5
984,0,0,16,0,-16
985,0,0,86,0,-86
986,1,0,53,0,-53
987,1,0,7,0,-7
988,1,1,23,1218,1195
989,0,0,126,0,-126
990,0,0,43,0,-43
991,1,0,51,0,-51
992,0,0,25,0,-25
993,0,0,48,0,-48
994,1,0,28,0,-28
995,1,0,47,0,-47
996,0,0,15,0,-15
997,0,0,75,0,-75
998,1,1,171,1245,1074
999,0,0,10,0,-10
1000,0,0,26,0,-26
1001,1,0,19,0,-19
1002,1,0,43,0,-43
1003,0,0,28,0,-28
1004,0,0,47,0,-47
1005,1,1,666,2432,1766
1006,0,0,1,0,-1
1007,1,0,114,0,-114
1008,0,0,140,0,-140
1009,1,0,19,0,-19
1010,0,0,33,0,-33
1011,1,0,23,0,-23
1012,0,0,84,0,-84
1013,1,0,36,0,-36
1014,1,0,58,0,-58
1015,1,0,15,0,-15
1016,1,1,230,1690,1460
1017,1,1,321,1404,1083
1018,0,0,10,0,-10
1019,1,1,772,1402,630
1020,0,0,24,0,-24
1021,1,1,408,1212,804
1022,0,0,40,0,-40
1023,1,1,109,2640,2531
1024,0,0,94,0,-94
1025,1,1,39,1287,1248
1026,1,0,17,0,-17
1027,0,0,79,0,-79
1028,0,0,42,0,-42
1029,1,0,40,0,-40
1030,1,0,23,0,-23
1031,1,0,35,0,-35
1032,0,0,44,0,-44
1033,0,0,114,0,-114
1034,1,0,33,0,-33
1035,0,0,102,0,-102
1036,1,0,111,0,-111
1037,1,0,64,0,-64
1038,1,1,339,1292,953
1039,0,0,172,0,-172
1040,1,0,3,0,-3
1041,1,1,72,2098,2026
1042,0,0,1,0,-1
1043,0,0,6,0,-6
1044,0,0,22,0,-22
1045,1,1,261,1227,966
1046,0,0,25,0,-25
1047,1,1,358,1602,1244
1048,1,1,162,1297,1135
1049,1,1,370,1493,1123
1050,1,0,11,0,-11
1051,0,0,87,0,-87
